PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS ,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,1997,40,570,46842,192,1.101482559,1.216856667,179,205,157,X,X,29
National,X,1997,41,615,48023,191,1.200068217,1.280636362,199,242,151,X,X,23
National,X,1997,42,681,54961,219,1.378763291,1.239060425,228,266,153,X,X,34
National,X,1997,43,653,57044,213,1.19919935,1.144730384,188,236,193,X,X,36
National,X,1997,44,700,55506,213,1.656177824,1.261124923,217,280,162,X,X,41
National,X,1997,45,655,51062,195,1.413264679,1.282754299,178,281,148,X,X,48
National,X,1997,46,932,64463,248,1.986796537,1.445790609,294,328,240,X,X,70
National,X,1997,47,1100,66749,256,2.447493917,1.647964764,288,456,293,X,X,63
National,X,1997,48,886,52890,252,1.739008693,1.675174891,268,343,206,X,X,69
National,X,1997,49,1098,67887,253,1.939187649,1.61739361,299,415,282,X,X,102
National,X,1997,50,1083,61314,242,2.281662008,1.766317644,346,388,268,X,X,81
National,X,1997,51,1004,47719,190,2.507606283,2.103983738,348,362,235,X,X,59
National,X,1997,52,1519,48429,251,4.113516942,3.136550414,510,492,404,X,X,113
National,X,1997,53,1946,52333,250,5.623719971,3.718495022,579,576,584,X,X,207
National,X,1998,1,2415,67228,254,4.373979576,3.592253228,639,810,759,X,X,207
National,X,1998,2,2613,70828,255,4.194341059,3.689218953,690,1121,654,X,X,148
National,X,1998,3,3126,67898,245,5.421234978,4.603964771,856,1440,679,X,X,151
National,X,1998,4,3437,69999,245,5.661365678,4.910070144,824,1600,817,X,X,196
National,X,1998,5,3354,69486,239,5.97801531,4.8268716,881,1471,769,X,X,233
National,X,1998,6,2617,66322,234,4.735801042,3.945900305,699,1101,671,X,X,146
National,X,1998,7,1948,62675,223,3.445811756,3.108097327,457,849,523,X,X,119
National,X,1998,8,1289,60247,217,2.477993436,2.13952562,313,534,330,X,X,112
National,X,1998,9,827,57449,211,1.657321018,1.439537677,241,308,214,X,X,64
National,X,1998,10,748,50582,208,1.969521471,1.47878692,201,305,183,X,X,59
National,X,1998,11,585,53889,200,1.585445472,1.085564772,162,249,123,X,X,51
National,X,1998,12,486,48699,177,1.804740422,0.997967104,156,196,93,X,X,41
National,X,1998,13,358,48105,182,1.046239644,0.744205384,90,144,92,X,X,32
National,X,1998,14,368,42959,170,1.400403942,0.856630741,82,152,93,X,X,41
National,X,1998,15,262,42140,156,0.796869917,0.621737067,64,106,73,X,X,19
National,X,1998,16,265,39496,155,0.717097051,0.670954021,82,100,68,X,X,15
National,X,1998,17,266,38324,148,1.002380517,0.694082037,58,120,61,X,X,27
National,X,1998,18,209,35821,136,0.908403389,0.583456632,39,93,64,X,X,13
National,X,1998,19,186,32200,131,0.443013613,0.577639752,79,61,37,X,X,9
National,X,1998,20,165,27263,120,0.638986477,0.60521586,54,52,40,X,X,19
National,X,1998,21,,,,,,X,X,X,X,X,X
National,X,1998,22,,,,,,X,X,X,X,X,X
National,X,1998,23,,,,,,X,X,X,X,X,X
National,X,1998,24,,,,,,X,X,X,X,X,X
National,X,1998,25,,,,,,X,X,X,X,X,X
National,X,1998,26,,,,,,X,X,X,X,X,X
National,X,1998,27,,,,,,X,X,X,X,X,X
National,X,1998,28,,,,,,X,X,X,X,X,X
National,X,1998,29,,,,,,X,X,X,X,X,X
National,X,1998,30,,,,,,X,X,X,X,X,X
National,X,1998,31,,,,,,X,X,X,X,X,X
National,X,1998,32,,,,,,X,X,X,X,X,X
National,X,1998,33,,,,,,X,X,X,X,X,X
National,X,1998,34,,,,,,X,X,X,X,X,X
National,X,1998,35,,,,,,X,X,X,X,X,X
National,X,1998,36,,,,,,X,X,X,X,X,X
National,X,1998,37,,,,,,X,X,X,X,X,X
National,X,1998,38,,,,,,X,X,X,X,X,X
National,X,1998,39,,,,,,X,X,X,X,X,X
National,X,1998,40,490,70272,304,1.577326554,0.697290528,115,210,139,X,X,26
National,X,1998,41,605,77092,328,1.308797693,0.784776631,133,262,174,X,X,36
National,X,1998,42,783,86720,350,1.417441661,0.902905904,217,287,225,X,X,54
National,X,1998,43,1086,95437,377,1.182716298,1.137923447,278,530,226,X,X,52
National,X,1998,44,1034,101821,388,2.334319335,1.015507606,298,414,262,X,X,60
National,X,1998,45,1022,102108,400,1.815768142,1.000901007,258,402,292,X,X,70
National,X,1998,46,1178,103429,372,2.179748397,1.138945557,355,478,281,X,X,64
National,X,1998,47,1208,83346,403,2.112401305,1.449379694,291,512,322,X,X,83
National,X,1998,48,1176,103241,392,2.048535985,1.139082341,319,453,310,X,X,94
National,X,1998,49,1202,103600,399,1.932482852,1.16023166,353,461,303,X,X,85
National,X,1998,50,1141,97416,396,1.904682693,1.171265501,312,426,320,X,X,83
National,X,1998,51,1064,71380,384,2.559827959,1.490613617,335,359,296,X,X,74
National,X,1998,52,1423,77216,382,3.991078297,1.842882304,418,377,466,X,X,162
National,X,1999,1,1780,97593,396,3.085814713,1.823901304,439,548,659,X,X,134
National,X,1999,2,2407,94632,396,4.163828853,2.54353707,431,874,962,X,X,140
National,X,1999,3,3864,106864,399,5.580490639,3.61581075,801,1689,1168,X,X,206
National,X,1999,4,4545,111421,397,5.253280685,4.079123325,755,2185,1419,X,X,186
National,X,1999,5,5670,111667,397,6.746671054,5.077596783,970,2919,1562,X,X,219
National,X,1999,6,5768,114244,379,7.571883281,5.048842828,1029,2911,1591,X,X,237
National,X,1999,7,4920,104830,376,6.87286958,4.693312983,822,2275,1599,X,X,224
National,X,1999,8,4486,105946,352,6.350975675,4.234232534,800,1932,1520,X,X,234
National,X,1999,9,3910,97176,359,5.410989547,4.023627233,769,1543,1357,X,X,241
National,X,1999,10,2922,97612,351,4.550080621,2.993484408,539,1140,1041,X,X,202
National,X,1999,11,2070,87063,339,3.85915194,2.377588643,458,778,704,X,X,130
National,X,1999,12,1696,84079,321,2.9960097,2.017150537,378,641,548,X,X,129
National,X,1999,13,1091,79237,313,1.978140424,1.376882012,243,397,382,X,X,69
National,X,1999,14,632,71588,277,1.168872511,0.882829525,127,265,202,X,X,38
National,X,1999,15,396,64515,268,1.093016104,0.613810742,102,175,102,X,X,17
National,X,1999,16,271,64253,258,0.633168672,0.42177019,59,133,66,X,X,13
National,X,1999,17,399,64824,255,0.639560906,0.615512773,111,150,118,X,X,20
National,X,1999,18,180,59546,237,1.55530896,0.302287307,35,84,50,X,X,11
National,X,1999,19,292,55872,227,0.80801959,0.522623139,102,86,88,X,X,16
National,X,1999,20,283,53444,222,1.339972117,0.529526233,100,100,68,X,X,15
National,X,1999,21,,,,,,X,X,X,X,X,X
National,X,1999,22,,,,,,X,X,X,X,X,X
National,X,1999,23,,,,,,X,X,X,X,X,X
National,X,1999,24,,,,,,X,X,X,X,X,X
National,X,1999,25,,,,,,X,X,X,X,X,X
National,X,1999,26,,,,,,X,X,X,X,X,X
National,X,1999,27,,,,,,X,X,X,X,X,X
National,X,1999,28,,,,,,X,X,X,X,X,X
National,X,1999,29,,,,,,X,X,X,X,X,X
National,X,1999,30,,,,,,X,X,X,X,X,X
National,X,1999,31,,,,,,X,X,X,X,X,X
National,X,1999,32,,,,,,X,X,X,X,X,X
National,X,1999,33,,,,,,X,X,X,X,X,X
National,X,1999,34,,,,,,X,X,X,X,X,X
National,X,1999,35,,,,,,X,X,X,X,X,X
National,X,1999,36,,,,,,X,X,X,X,X,X
National,X,1999,37,,,,,,X,X,X,X,X,X
National,X,1999,38,,,,,,X,X,X,X,X,X
National,X,1999,39,,,,,,X,X,X,X,X,X
National,X,1999,40,791,80941,316,0.831218931,0.977255038,264,273,228,X,X,26
National,X,1999,41,997,93434,361,1.40444812,1.067063382,292,351,297,X,X,57
National,X,1999,42,1067,113187,386,1.317205623,0.942687764,346,371,293,X,X,57
National,X,1999,43,1089,107163,355,1.381608366,1.016208953,371,367,289,X,X,62
National,X,1999,44,1570,131448,449,1.416065949,1.194388656,438,607,434,X,X,91
National,X,1999,45,1570,126461,456,1.4843774,1.241489471,473,535,461,X,X,101
National,X,1999,46,1701,132304,459,1.526141275,1.285675414,443,622,544,X,X,92
National,X,1999,47,1833,108377,455,1.853360493,1.691318269,483,504,714,X,X,132
National,X,1999,48,2484,142980,469,2.329069252,1.737305917,518,835,994,X,X,137
National,X,1999,49,3264,139657,480,2.702540831,2.3371546,643,1124,1316,X,X,181
National,X,1999,50,4208,143607,475,3.504540497,2.930219279,828,1405,1676,X,X,299
National,X,1999,51,5168,116927,472,5.407989038,4.419851702,1130,1399,2189,X,X,450
National,X,1999,52,6846,121233,471,7.042283827,5.646977308,1339,1697,3146,X,X,664
National,X,2000,1,7272,141197,482,6.768455999,5.150251068,1314,2043,3250,X,X,665
National,X,2000,2,5470,140143,467,5.52807665,3.903156062,1011,1746,2251,X,X,462
National,X,2000,3,3857,132462,450,3.805084896,2.911778472,851,1334,1357,X,X,315
National,X,2000,4,2901,134511,433,3.411769598,2.156700939,722,1048,962,X,X,169
National,X,2000,5,2478,136683,441,2.400001605,1.812954062,633,914,786,X,X,145
National,X,2000,6,2223,137511,437,1.891199561,1.616597945,599,862,646,X,X,116
National,X,2000,7,1668,131648,413,1.355030912,1.26701507,539,610,447,X,X,72
National,X,2000,8,1325,116119,382,1.332121272,1.141070798,452,481,328,X,X,64
National,X,2000,9,1385,112138,370,1.491274397,1.235085341,499,477,360,X,X,49
National,X,2000,10,1088,106737,363,1.26826077,1.019327881,381,394,256,X,X,57
