Year,Week,Group,DENV_cumulative,CHIKV_cumulative,ZIKV_cumulative,Flavivirus_cumulative,DENV_new,CHIKV_new,ZIKV_new,Flavivirus_new,Suspected_new
2016,2,Semanas 51-2,52,216,9,NA,1,2,15,NA,174
2016,3,Semanas 52-3,3,1,12,NA,3,1,18,NA,240
2016,4,Semanas 1-4,NA,NA,NA,NA,3,1,21,NA,281
2016,5,Semanas 2-5,10,7,54,NA,9,6,50,NA,749
2016,6,Semanas 3-6,10,6,102,NA,8,3,88,NA,548
2016,7,Semanas 4–7,26,14,147,NA,19,12,127,NA,1064
2016,8,Semanas 5–8,34,14,192,NA,25,5,158,NA,1132
2016,9,Semanas 6–9,39,17,192,NA,25,7,161,NA,1010
2016,10,Semanas 7–10,64,23,340,6,35,8,190,NA,1023
2016,11,Semanas 8–11,66,24,362,6,15,8,135,NA,1028
2016,12,Semanas 9–12,74,25,426,9,9,4,136,NA,1054
2016,13,Semanas 10–13,69,36,540,16,7,9,199,NA,1470
2016,14,Semanas 11–14,75,38,616,22,5,10,197,NA,1314
2016,15,Semanas 12–15,85,40,697,32,3,6,204,NA,1395
2016,16,Semanas 13–16,98,46,775,72,5,7,236,NA,1470
2016,17,Semanas 14–17,98,52,915,92,5,11,303,NA,1857
2016,18,Semanas 15–18,98,56,1098,52,4,12,398,NA,2079
2016,19,Semanas 16–19,100,60,1160,55,3,15,372,NA,2074
2016,20,Semanas 17–20,101,61,1342,71,3,11,416,NA,1981
2016,21,Semanas 18–21,103,66,1491,73,5,8,443,NA,2015
2016,22,Semanas 19–22,113,75,1716,76,9,13,448,NA,1757
2016,23,Semanas 20–23,118,76,2152,78,9,8,672,NA,1961
2016,24,Semanas 21–24,118,76,2377,117,6,1,595,NA,2089
2016,25,Semanas 22–25,123,77,3091,110,8,0,896,NA,1752
2016,26,Semanas 23–26,136,83,4427,119,3,0,1733,NA,2774
2016,27,Semanas 24–27,136,100,5572,127,3,3,2122,NA,3378
2016,28,Semanas 28–31,140,89,7286,183,8,1,3374,NA,5203
2016,29,Semanas 26–29,141,90,8766,200,6,1,3974,NA,5897
2016,30,Semanas 27–30,NA,108,10680,205,5,1,4211,NA,5990
2016,31,Semanas 28–31,144,110,13176,205,5,0,4178,NA,5766
2016,32,Semanas 29–32,144,111,14324,205,2,0,4359,NA,6279
2016,33,Semanas 30–33,147,115,16527,213,2,1,4359,NA,6403
2016,34,Semanas 31–34,147,115,17861,218,1,1,4554,NA,6266
2016,35,Semanas 32–35,147,126,19957,222,1,7,4888,NA,6930
2016,36,Semanas 33–36,147,134,22348,225,0,10,5244,NA,7448
2016,37,Semanas 34–37,149,149,24117,228,1,17,4615,NA,6839
2016,38,Semanas 35–38,149,152,26691,228,0,15,4934,NA,7594
2016,39,Semanas 36–39,149,154,29074,235,0,12,5317,NA,8475
2016,40,Semanas 37–40,149,154,29965,232,0,8,4399,NA,7580
2016,41,Semanas 38–41,150,153,31454,227,0,2,4172,NA,7606
2016,42,Semanas 39–42,150,161,32730,226,0,0,3994,NA,7648
