Year,Week,Group,Confirmed,Suspected
2013,47,Semana 47,9,219
2013,48,Semana 48,5,147
2013,49,Semana 49,13,135
2013,50,Semana 50,3,139
2013,51,Semana 51,31,140
2013,52,Semana 52,14,99
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,4,99
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,4,333
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,1,22
2014,Semana,NA NA,1,51
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2014,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,3,26
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,0,37
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2015,Semana,NA NA,NA,NA
2016,Semana,NA NA,NA,NA
2016,Semana,NA NA,NA,NA
