Year	Averagepopulation(x1000)	Livebirths	Deaths	Naturalchange	Crudebirthrate(per1000)	Crudedeathrate(per1000)	Naturalchange(per1000)	TFR
1910	1118	37600	26600	11000	33.6	23.8	9.8	
1911	1140	39100	26600	12500	34.3	23.3	11.0	
1912	1150	40400	26900	13500	35.1	23.4	11.7	
1913	1170	42700	23200	19500	36.5	19.8	16.7	
1914	1190	47400	22300	25100	39.8	18.7	21.1	
1915	1210	45000	25000	20000	37.2	20.7	16.5	
1916	1230	43200	29400	13800	35.1	23.9	11.2	
1917	1250	44300	38600	5700	35.4	30.9	4.5	
1918	1260	51500	38900	12600	40.9	30.9	10.0	
1919	1280	46000	30300	15700	35.9	23.7	12.2	
1920	1300	49900	29600	20300	38.4	22.8	15.6	
1921	1320	50600	29700	20900	38.3	22.5	15.8	
1922	1350	50500	29400	21100	37.4	21.8	15.6	
1923	1370	50700	26900	23800	37.0	19.6	17.4	
1924	1400	53600	27200	26400	38.3	19.4	18.9	
1925	1420	52700	33200	19500	37.1	23.4	13.7	
1926	1450	55500	32300	23200	38.3	22.3	16.0	
1927	1470	58200	33500	24700	39.6	22.8	16.8	
1928	1500	52900	29700	23200	35.3	19.8	15.5	
1929	1520	52300	40700	11600	34.4	26.8	7.6	
1930	1544	54300	31500	22800	35.2	20.4	14.8	
1931	1580	71600	35200	36400	45.3	22.3	23.0	
1932	1615	66400	35500	30900	41.1	22.0	19.1	
1933	1647	61600	36700	24900	37.4	22.3	15.1	
1934	1679	65595	31684	33911	39.1	18.9	20.2	
1935	1710	67585	30748	36837	39.5	18.0	21.5	
1936	1743	68962	34790	34172	39.6	20.0	19.6	
1937	1777	67919	37132	30787	38.2	20.9	17.3	
1938	1810	69823	33870	35953	38.6	18.7	19.9	
1939	1844	73044	32631	40413	39.6	17.7	21.9	
1940	1879	72388	34477	37911	38.5	18.3	20.2	
1941	1926	76130	35551	40579	39.5	18.5	21.1	
1942	1973	78405	32218	46187	39.7	16.3	23.4	
1943	2012	77304	29065	48239	38.4	14.4	24.0	
1944	2037	82534	29843	52691	40.5	14.7	25.9	
1945	2070	86680	28837	57843	41.9	13.9	27.9	
1946	2100	88421	27517	60904	42.1	13.1	29.0	
1947	2149	91305	25407	65898	42.5	11.8	30.7	
1948	2187	87809	26209	61600	40.2	12.0	28.2	
1949	2197	85625	23389	62236	39.0	10.6	28.3	
1950	2218	86038	21895	64143	38.8	9.9	27.9	
1951	2210	84076	22374	61702	38.0	10.1	27.9	
1952	2212	80438	20480	59958	36.3	9.3	27.1	
1953	2221	77754	17972	59782	35.0	8.1	26.9	
1954	2233	78008	16783	61225	34.9	7.5	27.4	
1955	2247	79221	16243	62978	35.2	7.2	28.0	
1956	2262	78177	16607	61570	34.5	7.3	27.2	
1957	2279	76068	16022	60046	33.3	7.0	26.3	
1958	2299	76128	16099	60029	33.1	7.0	26.1	
1959	2323	74933	15870	59063	32.2	6.8	25.4	
1960	2356	76015	15841	60174	32.2	6.7	25.5	
1961	2396	75563	16361	59202	31.5	6.8	24.7	
1962	2442	76677	16575	60102	31.3	6.8	24.6	
1963	2491	77382	17386	59996	31.0	7.0	24.0	
1964	2538	78837	18556	60281	31.0	7.3	23.7	
1965	2578	79586	17719	61867	30.8	6.9	24.0	
1966	2609	75735	17506	58229	29.0	6.7	22.3	
1967	2634	70755	16780	53975	26.8	6.4	20.4	
1968	2656	67989	17481	50508	25.5	6.6	19.0	
1969	2680	67577	17669	49908	25.1	6.6	18.6	
1970	2710	67438	18080	49358	24.8	6.7	18.2	2.69
1971	2746	71114	18144	52970	25.8	6.6	19.2	2.82
